,종목명,회계년,연구개발비/매출액(%),광고선전비/매출액(%)
2294,일진디스플,2023,2.2958651116855644,0.0
2295,일진전기,2019,0.37258622402250513,0.026727802627850718
2296,일진전기,2020,0.1836163956083899,0.023009170147833238
2297,일진전기,2021,0.17194577901743008,0.018796980364679416
2298,일진전기,2022,0.17975049825660308,0.053037157211052274
2299,일진전기,2023,0.32901675431681726,0.02634416161571938
2300,일진홀딩스,2019,0.0,0.17307193493054077
2301,일진홀딩스,2020,0.0,0.06788007838543059
2302,일진홀딩스,2021,0.0,0.09335569643973035
2303,일진홀딩스,2022,0.0,0.12309187637140957
2304,일진홀딩스,2023,0.0,0.12786229262065205
2305,자화전자,2019,8.14797776621557,0.0074382787110719925
2306,자화전자,2020,9.069902546508075,0.006459544980246456
2307,자화전자,2021,6.309639894248777,0.008676041001520892
2308,자화전자,2022,11.478116956500205,0.0
2309,자화전자,2023,10.19816738040108,0.0
2310,전방,2019,0.0,0.07821724499393193
2311,전방,2020,0.0,0.075687411968104
2312,전방,2021,0.0,0.06493241063473615
2313,전방,2022,0.0,0.04247480601641534
2314,전방,2023,0.0,0.062303996887870666
2315,제이준코스메틱,2019,0.0,12.132366677670396
2316,제이준코스메틱,2020,0.0,9.006276010445742
2317,제이준코스메틱,2021,0.0,5.177056412234723
2318,제이준코스메틱,2022,0.0,20.474925335141354
2319,제이준코스메틱,2023,0.0,30.444511069994263
2320,제일기획,2019,0.0,0.7185185751596436
2321,제일기획,2020,0.0,0.9091035728755492
2322,제일기획,2021,0.0,0.9805595908448014
2323,제일기획,2022,0.0,1.2067980228916324
2324,제일기획,2023,0.0,1.3595817526275267
2325,제일연마,2019,0.9913788430070405,0.0
2326,제일연마,2020,1.0354411341044822,0.0
2327,제일연마,2021,0.9959321687977718,0.0
2328,제일연마,2022,0.9353769238183549,0.0
2329,제일연마,2023,0.9437599426995016,0.0
2330,제일파마홀딩스,2019,3.0679710764907395,0.9539111141545449
2331,제일파마홀딩스,2020,3.2454920490264763,1.4008841864459811
2332,제일파마홀딩스,2021,5.202581420483734,1.146435774645142
2333,제일파마홀딩스,2022,5.241829714512662,0.7853904140778477
2334,제일파마홀딩스,2023,5.725754827227512,0.7373577016717819
2335,조광페인트,2019,0.0,0.49518951284591406
2336,조광페인트,2020,0.0,0.41285524234842813
2337,조광페인트,2021,0.0,0.24474465914168983
2338,조광페인트,2022,0.0,0.22633175784989712
2339,조광페인트,2023,0.0,0.3610298748295679
2340,조광피혁,2019,0.6326208294781013,0.0
2341,조광피혁,2020,0.7336120440842755,0.0
2342,조광피혁,2021,0.6635037193659166,0.0
2343,조광피혁,2022,0.6093522632447677,0.0
2344,조광피혁,2023,0.4891235124312688,0.0
2345,조비,2019,0.009729557375522845,1.0847370396703166
2346,조비,2020,0.0073274466751076,0.0
2347,조비,2021,0.09261146736993398,0.0
2348,조비,2022,0.07517219995368986,0.0
2349,조비,2023,0.0886041074683225,0.0
2350,조일알미늄,2019,0.09801520296534583,0.007377305600852658
2351,조일알미늄,2020,0.048732796793765375,0.003604541238952554
2352,조일알미늄,2021,0.049524074360700485,0.002355800876856071
2353,조일알미늄,2022,0.06040929773050267,0.005725612133417083
2354,조일알미늄,2023,0.042204983682828594,0.006913077740747369
2355,조흥,2019,0.0,0.07821078455459837
2356,조흥,2020,0.0,0.08907375264671442
2357,조흥,2021,0.0016610776208178348,0.08039185167880356
2358,조흥,2022,0.0,0.07485161699070786
2359,조흥,2023,0.0,0.058242778036798525
2360,종근당바이오,2019,7.80279715762288,0.0
2361,종근당바이오,2020,7.317436597230341,0.0
2362,종근당바이오,2021,8.096281695146525,0.0
2363,종근당바이오,2022,9.889539137672562,0.0
2364,종근당바이오,2023,9.341847510742845,0.0
2365,종근당홀딩스,2019,2.274253726121483,7.78575810693269
2366,종근당홀딩스,2020,2.407576020644163,10.3529947097149
2367,종근당홀딩스,2021,2.259928862275338,11.828933071628377
2368,종근당홀딩스,2022,2.498231929773528,14.221635266018442
2369,종근당홀딩스,2023,2.639572242525828,10.673836051224443
2370,주연테크,2019,0.42231666875145024,0.4589141683480207
2371,주연테크,2020,0.3136147148439777,0.26470043940180377
2372,주연테크,2021,0.23185493591982975,0.5696983362271196
2373,주연테크,2022,0.17853354337844313,1.2907877387607145
2374,주연테크,2023,0.2866318441317464,1.3214882375506747
2375,HS애드,2019,0.7821448124884836,0.1475801280248244
2376,HS애드,2020,0.8188582549944762,0.15750271254346213
2377,HS애드,2021,0.923432844613399,0.15610719328035116
2378,HS애드,2022,0.6770359459175244,0.1351911831125315
2379,HS애드,2023,0.6712728021083368,0.18080786560893153
2380,진도,2019,0.0,1.0668682736367738
2381,진도,2020,0.0,1.0214935891111476
2382,진도,2021,0.0,0.712901238559837
2383,진도,2022,0.0,0.6706307341865471
2384,진도,2023,0.0,0.970147232195552
2385,진양산업,2019,0.0,0.03932032358612994
2386,진양산업,2020,0.0,0.03994443478788036
2387,진양산업,2021,0.0,0.03550602184566638
2388,진양산업,2022,0.0,0.03664135705273699
2389,진양산업,2023,0.04585737016816971,0.038329012086491115
2390,진양폴리,2019,0.0,0.005567742408611062
2391,진양폴리,2020,0.0,0.017512596945695322
2392,진양폴리,2021,0.0,0.006450042713867438
2393,진양폴리,2022,0.0,0.02744094373933171
2394,진양폴리,2023,0.0,0.014914106304741236
2395,진양홀딩스,2019,0.11161883392444279,0.1432011135463473
2396,진양홀딩스,2020,0.12115207322971441,0.05340457700180383
2397,진양홀딩스,2021,0.18829855024543016,0.05923668939902815
2398,진양홀딩스,2022,0.2135991302741954,0.04498212748192179
2399,진양홀딩스,2023,0.5905244807370342,0.058677057434317816
2400,진양화학,2019,0.21099628849983323,0.7552840748620042
2401,진양화학,2020,0.33614648956865223,0.26919994723743873
2402,진양화학,2021,0.48889700088609417,0.3976887784103609
2403,진양화학,2022,0.4153418420493026,0.301900851611828
2404,진양화학,2023,0.6042627014892611,0.5422254790143405
2405,진원생명과학,2019,14.242868141899963,0.5070651227335465
2406,진원생명과학,2020,20.23092746503489,0.40499264518244094
2407,진원생명과학,2021,29.56278566436923,0.5024605071452187
2408,진원생명과학,2022,24.933897529265185,0.7014017319980377
2409,진원생명과학,2023,17.51958210190302,0.48992472211775906
2410,진흥기업,2019,0.0,0.29859982380936206
2411,진흥기업,2020,0.0,0.2622889881249552
2412,진흥기업,2021,0.0,0.2383971715917772
2413,진흥기업,2022,0.0,0.2602937139003142
2414,진흥기업,2023,0.0,0.275819240843099
2415,참엔지니어링,2019,8.294675546825635,0.6448163761584516
2416,참엔지니어링,2020,5.273018109546458,0.022282229490968267
2417,참엔지니어링,2021,6.001735034757349,0.009198144314069026
2418,참엔지니어링,2022,3.8310508705754973,0.01783143802932795
2419,참엔지니어링,2023,5.866964343251145,0.009805198751260664
2420,천일고속,2019,0.0,0.04310023538108082
2421,천일고속,2020,0.0,0.02644464461927863
2422,천일고속,2021,0.0,0.07306694230352737
2423,천일고속,2022,0.0,0.059782757310729684
2424,천일고속,2023,0.0,0.08011872052964768
2425,청호ICT,2019,5.97391635689684,0.007275055113998779
2426,청호ICT,2020,6.995618673453519,0.006965799023232568
2427,청호ICT,2021,9.561052063668097,0.2719835959136123
2428,청호ICT,2022,6.761976500285237,0.020251027512679126
2429,청호ICT,2023,5.764532534327566,0.002243417951942622
2430,체시스,2019,0.0,0.0008000878838106981
2431,체시스,2020,0.0,0.0055271427155687315
2432,체시스,2021,0.0,0.0008274038196083471
2433,체시스,2022,0.0,0.00018283147262188588
2434,체시스,2023,0.0,0.00042950852413354705
2435,카프로,2019,0.0,0.0
2436,카프로,2020,0.0,0.0
2437,카프로,2021,0.0,0.0
2438,카프로,2022,0.0,0.0
2439,카프로,2023,0.0,0.0
2440,케이씨,2019,0.41413805154810834,0.015079618771594064
2441,케이씨,2020,0.5073825261013392,0.009625655751159628
2442,케이씨,2021,0.4500795867881444,0.01663237419295293
2443,케이씨,2022,1.1648056955781467,0.04625351812230179
