,종목명,회계년,총자본회전율(회),총부채회전율(회),총자산회전율(회)
420,광전자,2019,0.74,4.40,0.64
421,광전자,2020,0.71,3.76,0.60
422,광전자,2021,0.84,4.94,0.72
423,광전자,2022,0.69,6.28,0.63
424,광전자,2023,0.55,6.30,0.50
425,광주신세계,2019,0.24,1.86,0.21
426,광주신세계,2020,0.22,1.66,0.19
427,광주신세계,2021,0.24,1.76,0.21
428,광주신세계,2022,0.24,1.61,0.21
429,광주신세계,2023,0.22,1.50,0.19
430,국도화학,2019,2.17,3.09,1.27
431,국도화학,2020,2.08,3.02,1.23
432,국도화학,2021,2.31,3.22,1.34
433,국도화학,2022,1.91,2.58,1.10
434,국도화학,2023,1.54,2.01,0.87
435,국동,2019,3.92,3.12,1.74
436,국동,2020,3.39,3.07,1.61
437,국동,2021,2.43,2.77,1.29
438,국동,2022,3.12,5.00,1.92
439,국동,2023,2.04,3.42,1.28
440,국보,2019,4.24,1.47,1.09
441,국보,2020,3.70,1.50,1.07
442,국보,2021,3.09,1.48,1.00
443,국보,2022,1.57,0.86,0.55
444,국보,2023,1.31,0.74,0.47
445,국제약품,2019,1.71,1.69,0.85
446,국제약품,2020,1.98,1.75,0.93
447,국제약품,2021,1.72,1.64,0.84
448,국제약품,2022,1.77,1.89,0.92
449,국제약품,2023,1.70,1.92,0.90
450,극동유화,2019,4.83,6.61,2.79
451,극동유화,2020,3.64,5.18,2.14
452,극동유화,2021,5.44,7.43,3.14
453,극동유화,2022,6.41,8.64,3.68
454,극동유화,2023,5.52,6.36,2.96
455,금강공업,2019,1.57,1.11,0.65
456,금강공업,2020,1.44,1.10,0.62
457,금강공업,2021,1.54,1.26,0.69
458,금강공업,2022,1.75,1.29,0.74
459,금강공업,2023,1.85,1.32,0.77
460,금비,2019,1.26,2.08,0.79
461,금비,2020,1.37,1.61,0.74
462,금비,2021,1.43,1.30,0.68
463,금비,2022,1.59,1.34,0.73
464,금비,2023,1.96,1.45,0.83
465,금양,2019,2.34,1.23,0.81
466,금양,2020,2.38,1.19,0.79
467,금양,2021,2.21,1.29,0.81
468,금양,2022,1.73,1.13,0.68
469,금양,2023,0.83,0.49,0.31
470,금호건설,2019,4.36,1.79,1.27
471,금호건설,2020,4.77,1.88,1.35
472,금호건설,2021,3.96,2.00,1.33
473,금호건설,2022,3.43,1.84,1.20
474,금호건설,2023,4.38,1.87,1.31
475,금호석유,2019,1.99,2.38,1.08
476,금호석유,2020,1.66,2.54,1.01
477,금호석유,2021,2.06,3.45,1.29
478,금호석유,2022,1.48,3.15,1.01
479,금호석유,2023,1.10,3.02,0.81
480,금호전기,2019,2.30,0.62,0.49
481,금호전기,2020,4.27,0.75,0.64
482,금호전기,2021,3.68,0.65,0.55
483,금호전기,2022,2.89,0.81,0.63
484,금호전기,2023,5.16,1.13,0.93
485,기아,2019,2.07,2.28,1.09
486,기아,2020,2.01,2.08,1.02
487,기아,2021,2.16,2.23,1.10
488,기아,2022,2.33,2.61,1.23
489,기아,2023,2.32,2.92,1.29
490,까뮤이앤씨,2019,4.34,3.14,1.82
491,까뮤이앤씨,2020,2.10,1.78,0.97
492,까뮤이앤씨,2021,1.80,1.82,0.91
493,까뮤이앤씨,2022,2.19,1.84,1.00
494,까뮤이앤씨,2023,3.35,1.96,1.24
495,깨끗한나라,2019,3.52,1.48,1.04
496,깨끗한나라,2020,3.12,1.64,1.07
497,깨끗한나라,2021,2.59,1.62,1.00
498,깨끗한나라,2022,2.58,1.54,0.96
499,깨끗한나라,2023,2.27,1.21,0.79
500,이엔플러스,2019,0.96,0.65,0.39
501,이엔플러스,2020,0.54,0.52,0.26
502,이엔플러스,2021,0.87,1.69,0.57
503,이엔플러스,2022,0.39,0.63,0.24
504,이엔플러스,2023,0.62,0.61,0.31
505,남광토건,2019,4.63,1.89,1.34
506,남광토건,2020,3.99,1.66,1.17
507,남광토건,2021,4.63,2.20,1.49
508,남광토건,2022,4.63,2.12,1.45
509,남광토건,2023,4.98,2.18,1.51
510,남선알미늄,2019,1.87,2.59,1.09
511,남선알미늄,2020,1.46,2.42,0.91
512,남선알미늄,2021,1.08,2.05,0.71
513,남선알미늄,2022,0.94,2.39,0.68
514,남선알미늄,2023,1.02,2.77,0.74
515,남성,2019,0.86,0.60,0.36
516,남성,2020,0.96,0.75,0.42
517,남성,2021,0.91,0.69,0.39
518,남성,2022,0.82,0.61,0.35
519,남성,2023,0.61,0.46,0.26
520,남양유업,2019,1.14,6.69,0.98
521,남양유업,2020,1.06,6.98,0.92
522,남양유업,2021,1.13,7.58,0.99
523,남양유업,2022,1.24,6.68,1.05
524,남양유업,2023,1.41,7.20,1.18
525,비비안,2019,1.91,5.74,1.43
526,비비안,2020,1.91,2.80,1.14
527,비비안,2021,1.94,1.94,0.97
528,비비안,2022,2.13,2.14,1.07
529,비비안,2023,2.35,2.10,1.11
530,남해화학,2019,2.77,8.78,2.10
531,남해화학,2020,2.28,7.12,1.73
532,남해화학,2021,3.14,7.56,2.22
533,남해화학,2022,4.37,6.90,2.68
534,남해화학,2023,3.05,4.57,1.83
535,넥센,2019,1.17,1.15,0.58
536,넥센,2020,0.96,0.93,0.47
537,넥센,2021,1.16,1.03,0.55
538,넥센,2022,1.41,1.19,0.65
539,넥센,2023,1.39,1.12,0.62
540,넥센타이어,2019,1.35,1.10,0.61
541,넥센타이어,2020,1.09,0.88,0.49
542,넥센타이어,2021,1.32,0.99,0.56
543,넥센타이어,2022,1.63,1.14,0.67
544,넥센타이어,2023,1.64,1.11,0.66
545,노루페인트,2019,2.05,2.14,1.05
546,노루페인트,2020,1.96,2.02,0.99
547,노루페인트,2021,2.15,2.22,1.09
548,노루페인트,2022,2.14,2.33,1.12
549,노루페인트,2023,2.15,2.56,1.17
550,노루홀딩스,2019,1.57,2.04,0.89
551,노루홀딩스,2020,1.48,1.86,0.82
552,노루홀딩스,2021,1.64,2.02,0.91
553,노루홀딩스,2022,1.66,2.10,0.93
554,노루홀딩스,2023,1.79,2.41,1.03
555,녹십자,2019,1.17,1.98,0.74
556,녹십자,2020,1.23,1.82,0.73
557,녹십자,2021,1.11,1.67,0.67
558,녹십자,2022,1.12,1.78,0.69
559,녹십자,2023,1.05,1.58,0.63
560,녹십자홀딩스,2019,1.01,1.22,0.55
561,녹십자홀딩스,2020,1.08,1.21,0.57
562,녹십자홀딩스,2021,1.03,1.17,0.55
563,녹십자홀딩스,2022,1.07,1.30,0.59
564,녹십자홀딩스,2023,1.07,1.18,0.56
565,농심,2019,1.22,3.48,0.90
566,농심,2020,1.32,3.80,0.98
567,농심,2021,1.25,3.87,0.95
568,농심,2022,1.39,4.41,1.05
569,농심,2023,1.43,4.51,1.09
570,농심홀딩스,2019,0.59,1.81,0.45
571,농심홀딩스,2020,0.62,2.05,0.47
572,농심홀딩스,2021,0.64,2.27,0.50
573,농심홀딩스,2022,0.64,2.24,0.50
574,농심홀딩스,2023,0.70,2.22,0.53
575,다우기술,2019,1.06,0.14,0.12
576,다우기술,2020,1.60,0.16,0.15
577,다우기술,2021,1.55,0.16,0.14
578,다우기술,2022,1.88,0.21,0.19
579,다우기술,2023,1.84,0.21,0.19
580,키다리스튜디오,2019,1.42,2.31,0.88
581,키다리스튜디오,2020,1.89,2.17,1.01
582,키다리스튜디오,2021,0.95,2.70,0.70
583,키다리스튜디오,2022,0.68,1.99,0.51
584,키다리스튜디오,2023,0.71,1.43,0.47
585,KIB플러그에너지,2019,1.76,1.19,0.71
586,KIB플러그에너지,2020,1.22,1.19,0.60
587,KIB플러그에너지,2021,0.79,1.02,0.44
588,KIB플러그에너지,2022,1.02,1.40,0.59
589,KIB플러그에너지,2023,1.15,1.55,0.66
590,대교,2019,1.24,2.93,0.87
591,대교,2020,1.07,2.11,0.71
592,대교,2021,1.19,2.19,0.77
593,대교,2022,1.48,2.44,0.92
594,대교,2023,1.85,2.36,1.04
595,대구백화점,2019,0.34,0.26,0.15
596,대구백화점,2020,0.33,0.29,0.15
597,대구백화점,2021,0.32,0.34,0.16
