종목명,2011 Market Cap,2012 Market Cap,2013 Market Cap,2014 Market Cap,2015 Market Cap,2016 Market Cap,2017 Market Cap,2018 Market Cap,2019 Market Cap,2020 Market Cap,2021 Market Cap,2022 Market Cap,2023 Market Cap
DSR제강,47808000000,42480000000,44136000000,45504000000,54720000000,1.27008E+11,75456000000,61920000000,65520000000,70344000000,68112000000,68760000000,60192000000
E1,3.64266E+11,4.74712E+11,4.58248E+11,4.74026E+11,4.21204E+11,4.30122E+11,3.90334E+11,3.82788E+11,3.31338E+11,3.06299E+11,3.30652E+11,3.11787E+11,4.27378E+11
GS건설,4.6971E+12,2.9223E+12,1.5555E+12,1.65075E+12,1.40225E+12,1.8815E+12,2.02841E+12,3.46925E+12,2.48704E+12,3.03076E+12,3.38903E+12,1.81005E+12,1.28543E+12
GS글로벌,2.33224E+11,2.68152E+11,1.99649E+11,1.92664E+11,1.2371E+11,2.55442E+11,2.30682E+11,2.03446E+11,1.83225E+11,1.60116E+11,1.95605E+11,1.85701E+11,2.10461E+11
JW중외제약,1.45748E+11,1.63813E+11,2.24785E+11,2.15515E+11,6.58979E+11,9.95006E+11,8.75311E+11,8.14737E+11,6.09649E+11,7.45173E+11,5.03195E+11,4.42721E+11,8.35706E+11
JW홀딩스,1.1392E+11,1.13629E+11,1.27734E+11,1.28125E+11,4.98256E+11,5.44419E+11,5.19115E+11,4.51666E+11,4.09708E+11,3.87416E+11,2.34753E+11,2.09925E+11,2.53053E+11
KB금융,1.40246E+13,1.46427E+13,1.63234E+13,1.39666E+13,1.28076E+13,1.78952E+13,2.65083E+13,1.94422E+13,1.98132E+13,1.80461E+13,2.28694E+13,1.98315E+13,2.18299E+13
KEC,1.03887E+11,91639156103,46293149056,68790202360,66133070080,89047384000,1.43004E+11,1.16387E+11,1.20792E+11,3.42535E+11,5.36904E+11,2.83012E+11,3.12588E+11
KG케미칼,81641000000,1.2198E+11,1.81365E+11,1.80249E+11,1.77922E+11,1.7076E+11,3.03149E+11,2.16726E+11,1.56159E+11,3.10366E+11,4.26382E+11,2.84948E+11,4.69013E+11
KR모터스,79362017035,58954641226,52271524002,1.23518E+11,2.22641E+11,1.52E+11,61186294000,64491045000,52854896925,1.04035E+11,83158823320,53837540400,34417570470
