Symbol,Name,결산월,회계년,주기,ROE(영업이익)(%)
A267850,아시아나IDT,12,2018,Annual,10.83
A267850,아시아나IDT,12,2019,Annual,7.68
A267850,아시아나IDT,12,2020,Annual,6.45
A267850,아시아나IDT,12,2021,Annual,5.10
A267850,아시아나IDT,12,2022,Annual,6.49
A267850,아시아나IDT,12,2023,Annual,5.61
A267850,아시아나IDT,12,2024,Annual,
A128820,대성산업,12,2011,Annual,-4.14
A128820,대성산업,12,2012,Annual,-1.59
A128820,대성산업,12,2013,Annual,-38.17
A128820,대성산업,12,2014,Annual,-7.23
A128820,대성산업,12,2015,Annual,-63.25
A128820,대성산업,12,2016,Annual,-13.41
A128820,대성산업,12,2017,Annual,-3.98
A128820,대성산업,12,2018,Annual,1.43
A128820,대성산업,12,2019,Annual,-2.31
A128820,대성산업,12,2020,Annual,2.30
A128820,대성산업,12,2021,Annual,3.67
A128820,대성산업,12,2022,Annual,8.41
A128820,대성산업,12,2023,Annual,4.75
A128820,대성산업,12,2024,Annual,
A010580,에스엠벡셀,12,2011,Annual,-11.47
A010580,에스엠벡셀,12,2012,Annual,-30.44
A010580,에스엠벡셀,12,2013,Annual,-11.90
A010580,에스엠벡셀,12,2014,Annual,-4.77
A010580,에스엠벡셀,12,2015,Annual,0.57
A010580,에스엠벡셀,12,2016,Annual,-28.13
A010580,에스엠벡셀,12,2017,Annual,-15.46
A010580,에스엠벡셀,12,2018,Annual,10.75
A010580,에스엠벡셀,12,2019,Annual,-20.39
A010580,에스엠벡셀,12,2020,Annual,-27.59
A010580,에스엠벡셀,12,2021,Annual,-39.08
A010580,에스엠벡셀,12,2022,Annual,6.90
A010580,에스엠벡셀,12,2023,Annual,14.19
A010580,에스엠벡셀,12,2024,Annual,
A020120,키다리스튜디오,12,2011,Annual,-59.71
A020120,키다리스튜디오,12,2012,Annual,-33.94
A020120,키다리스튜디오,12,2013,Annual,6.87
A020120,키다리스튜디오,12,2014,Annual,10.42
A020120,키다리스튜디오,12,2015,Annual,1.80
A020120,키다리스튜디오,12,2016,Annual,3.83
A020120,키다리스튜디오,12,2017,Annual,-2.98
A020120,키다리스튜디오,12,2018,Annual,1.62
A020120,키다리스튜디오,12,2019,Annual,3.74
A020120,키다리스튜디오,12,2020,Annual,19.05
A020120,키다리스튜디오,12,2021,Annual,5.54
A020120,키다리스튜디오,12,2022,Annual,1.71
A020120,키다리스튜디오,12,2023,Annual,-2.38
A020120,키다리스튜디오,12,2024,Annual,
A015230,대창단조,12,2011,Annual,43.35
A015230,대창단조,12,2012,Annual,32.56
A015230,대창단조,12,2013,Annual,20.12
A015230,대창단조,12,2014,Annual,14.23
A015230,대창단조,12,2015,Annual,13.08
A015230,대창단조,12,2016,Annual,10.46
A015230,대창단조,12,2017,Annual,11.27
A015230,대창단조,12,2018,Annual,7.89
A015230,대창단조,12,2019,Annual,10.05
A015230,대창단조,12,2020,Annual,9.88
A015230,대창단조,12,2021,Annual,13.91
A015230,대창단조,12,2022,Annual,21.24
A015230,대창단조,12,2023,Annual,18.04
A015230,대창단조,12,2024,Annual,
A078520,에이블씨엔씨,12,2011,Annual,33.51
A078520,에이블씨엔씨,12,2012,Annual,40.36
A078520,에이블씨엔씨,12,2013,Annual,8.22
A078520,에이블씨엔씨,12,2014,Annual,4.81
A078520,에이블씨엔씨,12,2015,Annual,9.93
A078520,에이블씨엔씨,12,2016,Annual,12.69
A078520,에이블씨엔씨,12,2017,Annual,4.46
A078520,에이블씨엔씨,12,2018,Annual,-6.08
A078520,에이블씨엔씨,12,2019,Annual,0.64
A078520,에이블씨엔씨,12,2020,Annual,-32.88
A078520,에이블씨엔씨,12,2021,Annual,-16.49
A078520,에이블씨엔씨,12,2022,Annual,8.65
A078520,에이블씨엔씨,12,2023,Annual,11.21
A078520,에이블씨엔씨,12,2024,Annual,
A024900,덕양산업,12,2011,Annual,-0.41
A024900,덕양산업,12,2012,Annual,-2.63
A024900,덕양산업,12,2013,Annual,-2.30
A024900,덕양산업,12,2014,Annual,2.56
A024900,덕양산업,12,2015,Annual,5.67
A024900,덕양산업,12,2016,Annual,2.62
A024900,덕양산업,12,2017,Annual,5.20
A024900,덕양산업,12,2018,Annual,4.50
A024900,덕양산업,12,2019,Annual,-7.59
A024900,덕양산업,12,2020,Annual,-0.85
A024900,덕양산업,12,2021,Annual,10.47
