Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원),총자산(천원)
A181710,NHN,12,2012,Annual,,,
A181710,NHN,12,2013,Annual,"1,013,016,155","165,328,622","1,178,344,777"
A181710,NHN,12,2014,Annual,"1,042,865,833","229,992,079","1,272,857,912"
A181710,NHN,12,2015,Annual,"1,502,510,149","330,819,364","1,833,329,513"
A181710,NHN,12,2016,Annual,"1,510,449,796","327,737,345","1,838,187,142"
A181710,NHN,12,2017,Annual,"1,657,897,236","459,686,630","2,117,583,867"
A181710,NHN,12,2018,Annual,"1,820,039,608","674,614,634","2,494,654,242"
A181710,NHN,12,2019,Annual,"1,828,701,975","671,619,273","2,500,321,249"
A181710,NHN,12,2020,Annual,"1,844,164,785","706,765,823","2,550,930,609"
A181710,NHN,12,2021,Annual,"2,098,607,645","928,563,862","3,027,171,507"
A181710,NHN,12,2022,Annual,"1,992,419,159","1,032,762,862","3,025,182,021"
A181710,NHN,12,2023,Annual,"1,989,792,119","1,459,885,157","3,449,677,276"
A181710,NHN,12,2024,Annual,,,
A100090,SK오션플랜트,12,2011,Annual,"35,673,712","179,457,172","215,130,884"
A100090,SK오션플랜트,12,2012,Annual,"56,107,139","200,793,614","256,900,753"
A100090,SK오션플랜트,12,2013,Annual,"41,731,204","213,318,053","255,049,256"
A100090,SK오션플랜트,12,2014,Annual,"45,171,519","201,260,242","246,431,761"
A100090,SK오션플랜트,12,2015,Annual,"56,426,519","207,474,289","263,900,808"
A100090,SK오션플랜트,12,2016,Annual,"73,000,724","165,264,405","238,265,129"
A100090,SK오션플랜트,12,2017,Annual,"249,405,759","281,057,824","530,463,583"
A100090,SK오션플랜트,12,2018,Annual,"225,691,597","312,366,746","538,058,343"
A100090,SK오션플랜트,12,2019,Annual,"195,778,853","432,152,491","627,931,344"
A100090,SK오션플랜트,12,2020,Annual,"233,704,327","426,340,119","660,044,447"
A100090,SK오션플랜트,12,2021,Annual,"180,080,018","559,312,172","739,392,190"
A100090,SK오션플랜트,12,2022,Annual,"525,957,499","694,046,435","1,220,003,934"
A100090,SK오션플랜트,12,2023,Annual,"698,841,962","733,064,705","1,431,906,667"
A100090,SK오션플랜트,12,2024,Annual,,,
A003850,보령,12,2011,Annual,"137,969,507","124,416,758","262,386,266"
A003850,보령,12,2012,Annual,"145,793,038","127,213,133","273,006,171"
A003850,보령,12,2013,Annual,"159,980,487","107,579,507","267,559,994"
A003850,보령,12,2014,Annual,"177,356,364","105,052,976","282,409,341"
A003850,보령,12,2015,Annual,"195,940,219","134,988,168","330,928,386"
A003850,보령,12,2016,Annual,"195,348,849","202,551,724","397,900,573"
A003850,보령,12,2017,Annual,"249,653,982","152,862,300","402,516,283"
A003850,보령,12,2018,Annual,"256,102,642","193,914,931","450,017,573"
A003850,보령,12,2019,Annual,"282,953,676","224,675,238","507,628,914"
A003850,보령,12,2020,Annual,"340,287,560","307,706,406","647,993,966"
A003850,보령,12,2021,Annual,"474,314,061","354,327,079","828,641,139"
A003850,보령,12,2022,Annual,"516,416,554","375,969,361","892,385,915"
A003850,보령,12,2023,Annual,"549,252,590","366,258,951","915,511,541"
A003850,보령,12,2024,Annual,,,
A456040,OCI,12,2011,Annual,,,
A456040,OCI,12,2012,Annual,,,
A456040,OCI,12,2013,Annual,,,
A456040,OCI,12,2014,Annual,,,
A456040,OCI,12,2015,Annual,,,
A456040,OCI,12,2016,Annual,,,
A456040,OCI,12,2017,Annual,,,
A456040,OCI,12,2018,Annual,,,
A456040,OCI,12,2019,Annual,,,
A456040,OCI,12,2020,Annual,,,
A456040,OCI,12,2021,Annual,,,
A456040,OCI,12,2022,Annual,,,
A456040,OCI,12,2023,Annual,"983,528,347","1,006,942,846","1,990,471,193"
A456040,OCI,12,2024,Annual,,,
A001430,세아베스틸지주,12,2011,Annual,"1,288,022,271","711,380,114","1,999,402,385"
A001430,세아베스틸지주,12,2012,Annual,"1,349,718,072","809,368,105","2,159,086,176"
A001430,세아베스틸지주,12,2013,Annual,"1,423,122,270","785,989,793","2,209,112,063"
