,종목명,2020사회,2021사회,2022사회,2023사회,2024사회,종목코드,시장구분,업종명,시가총액,2021-2020사회차이,2022-2021사회차이,2023-2022사회차이,2024-2023사회차이
172,하이트진로,3.0,5.0,4.0,5.0,5.0,80.0,KOSPI,음식료품,1476310000000.0,2.0,-1.0,1.0,0.0
173,하이트진로홀딩스,3.0,5.0,4.0,5.0,5.0,140.0,KOSPI,기타금융,208861000000.0,2.0,-1.0,1.0,0.0
174,한국가스공사,6.0,5.0,5.0,6.0,6.0,36460.0,KOSPI,전기가스업,2372440000000.0,-1.0,0.0,1.0,0.0
175,한국공항,3.0,3.0,4.0,3.0,3.0,5430.0,KOSPI,운수창고업,216262000000.0,0.0,1.0,-1.0,0.0
176,한국금융지주,4.0,5.0,4.0,4.0,4.0,71050.0,KOSPI,기타금융,3672340000000.0,1.0,-1.0,0.0,0.0
177,한국내화,3.0,3.0,4.0,4.0,4.0,10040.0,KOSPI,비금속광물,114577000000.0,0.0,1.0,0.0,0.0
178,한국단자,3.0,2.0,2.0,3.0,3.0,25540.0,KOSPI,전기전자,655104000000.0,-1.0,0.0,1.0,0.0
179,한국석유,2.0,4.0,3.0,4.0,4.0,4090.0,KOSPI,비금속광물,203741000000.0,2.0,-1.0,1.0,0.0
180,한국수출포장,2.0,2.0,1.0,1.0,1.0,2200.0,KOSPI,종이목재,105800000000.0,0.0,-1.0,0.0,0.0
181,한국쉘석유,4.0,4.0,2.0,2.0,2.0,2960.0,KOSPI,화학,350350000000.0,0.0,-2.0,0.0,0.0
182,한국전력,5.0,4.0,3.0,5.0,5.0,15760.0,KOSPI,전기가스업,13417000000000.0,-1.0,-1.0,2.0,0.0
183,한국전자홀딩스,3.0,4.0,1.0,2.0,2.0,6200.0,KOSPI,기타금융,42731263168.0,1.0,-3.0,1.0,0.0
185,한국주강,2.0,1.0,1.0,1.0,1.0,25890.0,KOSPI,기계,26859490125.0,-1.0,0.0,0.0,0.0
186,한국주철관,2.0,2.0,2.0,1.0,1.0,970.0,KOSPI,철강금속,147063000000.0,0.0,0.0,-1.0,0.0
187,한국철강,3.0,3.0,1.0,1.0,1.0,104700.0,KOSPI,철강금속,514494000000.0,0.0,-2.0,0.0,0.0
188,한국카본,3.0,4.0,5.0,4.0,4.0,17960.0,KOSPI,기계,573069000000.0,1.0,1.0,-1.0,0.0
189,한국앤컴퍼니,4.0,6.0,3.0,5.0,5.0,240.0,KOSPI,기타금융,1471500000000.0,2.0,-3.0,2.0,0.0
190,한국특강,3.0,3.0,2.0,2.0,2.0,7280.0,KOSPI,철강금속,104356000000.0,0.0,-1.0,0.0,0.0
191,한국무브넥스,4.0,4.0,2.0,2.0,2.0,10100.0,KOSPI,운수장비,145858000000.0,0.0,-2.0,0.0,0.0
192,한국화장품제조,3.0,3.0,2.0,2.0,2.0,3350.0,KOSPI,화학,117379000000.0,0.0,-1.0,0.0,0.0
193,한농화성,2.0,3.0,1.0,2.0,2.0,11500.0,KOSPI,화학,276776000000.0,1.0,-2.0,1.0,0.0
194,한독,4.0,5.0,5.0,6.0,6.0,2390.0,KOSPI,의약품,183606000000.0,1.0,0.0,1.0,0.0
195,HLD&I,4.0,4.0,5.0,6.0,6.0,14790.0,KOSPI,건설업,74354292364.0,0.0,1.0,1.0,0.0
196,한미글로벌,4.0,5.0,5.0,6.0,6.0,53690.0,KOSPI,서비스업,167431000000.0,1.0,0.0,1.0,0.0
197,한미반도체,2.0,1.0,1.0,1.0,1.0,42700.0,KOSPI,기계,12371800000000.0,-1.0,0.0,0.0,0.0
198,한미사이언스,3.0,6.0,6.0,5.0,5.0,8930.0,KOSPI,기타금융,2298090000000.0,3.0,0.0,-1.0,0.0
199,한샘,6.0,6.0,5.0,5.0,5.0,9240.0,KOSPI,유통업,1195520000000.0,0.0,-1.0,0.0,0.0
