,종목명,2020환경,2021환경,2022환경,2023환경,2024환경,종목코드,시장구분,업종명,시가총액
814,HD현대,B+,A,B+,B+,B+,267250.0,KOSPI,기타금융,4929170000000.0
815,HD현대건설기계,B+,B+,B+,A+,A+,267270.0,KOSPI,기계,1020500000000.0
816,HD현대일렉트릭,A,A,B+,A,A,267260.0,KOSPI,전기전자,8200720000000.0
817,LX세미콘,C,B,A,A,A,108320.0,KOSPI,전기전자,1244220000000.0
818,LX인터내셔널,A,A,B+,B+,B+,1120.0,KOSPI,유통업,1025200000000.0
819,NICE평가정보,D,B,-,-,-,30190.0,KOSPI,서비스업,634136000000.0
820,OCI홀딩스,A,B+,B+,A,A,10060.0,KOSPI,화학,1825340000000.0
821,PI첨단소재,C,B+,-,B+,B+,178920.0,KOSPI,화학,554142000000.0
822,SK케미칼,B+,A,A+,A+,A+,285130.0,KOSPI,화학,1009350000000.0
823,경동도시가스,B,B+,C,C,C,267290.0,KOSPI,전기가스업,114017000000.0
824,넷마블,D,D,C,B+,B+,251270.0,KOSPI,서비스업,5036880000000.0
825,대덕,B+,B+,B,A,A,8060.0,KOSPI,기타금융,207747000000.0
826,더블유게임즈,D,D,D,D,D,192080.0,KOSPI,서비스업,900678000000.0
827,덴티움,D,D,D,D,D,145720.0,KOSPI,의료정밀,1516430000000.0
828,동국홀딩스,B+,B+,B+,A,A,1230.0,KOSPI,철강금속,263944000000.0
829,동아타이어,C,D,D,D,D,282690.0,KOSPI,화학,163972000000.0
830,동양피스톤,B,B,D,C,C,92780.0,KOSPI,운수장비,60377389100.0
831,롯데웰푸드,A,A,B,B+,B+,280360.0,KOSPI,음식료품,1246310000000.0
832,롯데이노베이트,B+,A,A,A,A,286940.0,KOSPI,서비스업,501151000000.0
834,미원에스씨,C,C,C,B,B,268280.0,KOSPI,화학,693500000000.0
835,비에이치,D,B+,-,-,-,90460.0,KOSPI,전기전자,550051000000.0
836,비케이탑스,D,D,D,D,D,30790.0,KOSPI,서비스업,19208323080.0
837,삼양패키징,C,B,C,B+,B+,272550.0,KOSPI,화학,273776000000.0
838,성안머티리얼스,C,D,D,D,D,11300.0,KOSPI,섬유의복,90870699080.0
839,세아제강지주,C,B+,B,B+,B+,3030.0,KOSPI,기타금융,882173000000.0
840,CR홀딩스,B,B,C,C,C,480.0,KOSPI,비금속광물,268683000000.0
841,아시아나IDT,D,B,D,C,C,267850.0,KOSPI,서비스업,174381000000.0
842,애경산업,C,B+,B+,A,A,18250.0,KOSPI,화학,530840000000.0
844,SK바이오팜,-,-,B+,B+,B+,326030.0,KOSPI,서비스업,6593980000000.0
845,에어부산,C,C,C,C,C,298690.0,KOSPI,운수창고업,310262000000.0
847,엘앤에프,B,B,-,-,-,66970.0,KOSPI,전기전자,5554420000000.0
848,오리온,B,A,B+,A,A,271560.0,KOSPI,음식료품,3657090000000.0
849,우진아이엔에스,C,C,D,C,C,10400.0,KOSPI,건설업,33308140000.0
850,제일약품,D,D,D,C,C,271980.0,KOSPI,의약품,244983000000.0
851,진에어,C,C,B,A,A,272450.0,KOSPI,운수창고업,716706000000.0
852,케이씨텍,B,B,D,C,C,281820.0,KOSPI,의료정밀,740585000000.0
853,콘텐트리중앙,D,D,D,D,D,36420.0,KOSPI,서비스업,278148000000.0
854,콜마홀딩스,B,B,B+,A,A,24720.0,KOSPI,기타금융,305922000000.0
855,쿠쿠홈시스,D,D,D,D,D,284740.0,KOSPI,서비스업,502596000000.0
856,크라운제과,D,C,C,C,C,264900.0,KOSPI,음식료품,101944000000.0
857,테이팩스,B+,B+,B,A,A,55490.0,KOSPI,화학,100296000000.0
858,티웨이항공,C,C,D,B,B,91810.0,KOSPI,운수창고업,575062000000.0
859,포스코DX,B,A,-,-,-,22100.0,KOSPI,서비스업,6294240000000.0
860,포스코퓨처엠,A,A,B+,A,A,3670.0,KOSPI,전기전자,21457300000000.0
861,하나제약,D,D,D,D,D,293480.0,KOSPI,의약품,234603000000.0
862,한일홀딩스,D,B+,B+,A,A,3300.0,KOSPI,비금속광물,384794000000.0
863,현대지에프홀딩스,B+,A,A,A,A,5440.0,KOSPI,기타금융,730412000000.0
864,호전실업,D,D,D,D,D,111110.0,KOSPI,섬유의복,72247381440.0
865,화승코퍼레이션,B+,B+,C,C,C,13520.0,KOSPI,운수장비,87539639748.0
866,효성중공업,A,A,A,A,A,298040.0,KOSPI,전기전자,2582900000000.0
867,효성첨단소재,A+,A,B+,A,A,298050.0,KOSPI,화학,1520940000000.0
868,효성티앤씨,A+,A,A,A+,A+,298020.0,KOSPI,화학,1529840000000.0
869,효성화학,A+,A,A,A,A,298000.0,KOSPI,화학,221063000000.0
