,종목명,2011사회,2012사회,2013사회,2014사회,2015사회,2016사회,2017사회,2018사회,종목코드,시장구분,업종명,시가총액
418,삼일제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,520.0,KOSPI,의약품,183800000000.0
419,삼정펄프,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9770.0,KOSPI,종이목재,62499275000.0
420,삼진제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B+,5500.0,KOSPI,의약품,273830000000.0
421,삼천리,B이하,B+,B+,B+,B+,B+,B+,B+,4690.0,KOSPI,전기가스업,369818000000.0
423,삼호개발,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10960.0,KOSPI,건설업,81750000000.0
424,삼화왕관,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4450.0,KOSPI,기계,70448193300.0
425,삼화전기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9470.0,KOSPI,전기전자,251325000000.0
426,삼화전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,11230.0,KOSPI,전기전자,67526286500.0
428,삼화페인트,B이하,B+,B이하,B+,B+,B이하,B+,B+,390.0,KOSPI,화학,202666000000.0
430,상신브레이크,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,41650.0,KOSPI,운수장비,82020939000.0
432,샘표,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7540.0,KOSPI,기타금융,142496000000.0
433,서연,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7860.0,KOSPI,기타금융,214136000000.0
434,서울가스,B이하,B이하,B+,B이하,B이하,B+,B이하,B이하,17390.0,KOSPI,전기가스업,284000000000.0
437,서원,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,21050.0,KOSPI,철강금속,64375544040.0
438,서흥,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,8490.0,KOSPI,화학,249314000000.0
439,선도전기,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,7610.0,KOSPI,전기전자,54000000000.0
441,SUN&L,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2820.0,KOSPI,종이목재,32591651565.0
442,성문전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,14910.0,KOSPI,전기전자,32029364610.0
444,성신양회,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4980.0,KOSPI,비금속광물,206670000000.0
446,성창기업지주,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,180.0,KOSPI,서비스업,132737000000.0
448,세방,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,4360.0,KOSPI,운수창고업,224946000000.0
449,세방전지,B이하,B+,B이하,B이하,B+,B+,B이하,B이하,4490.0,KOSPI,전기전자,1303400000000.0
450,세아베스틸지주,B이하,B이하,B이하,B이하,B이하,B+,B이하,B+,1430.0,KOSPI,철강금속,747725000000.0
451,세아제강,B이하,B이하,B이하,B이하,B이하,B+,B이하,B이하,306200.0,KOSPI,철강금속,384886000000.0
452,세아홀딩스,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,58650.0,KOSPI,철강금속,429200000000.0
454,세원이앤씨,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,91090.0,KOSPI,기계,54838923850.0
455,세원정공,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,21820.0,KOSPI,운수장비,78200000000.0
456,세이브존I&C,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,67830.0,KOSPI,유통업,96446103250.0
457,에스제이지세종,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,33530.0,KOSPI,운수장비,158858000000.0
460,송원산업,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,4430.0,KOSPI,화학,324000000000.0
461,수산중공업,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,17550.0,KOSPI,기계,124611000000.0
462,신대양제지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,16590.0,KOSPI,종이목재,229698000000.0
463,신도리코,B이하,B이하,B+,B이하,B이하,B이하,B이하,B이하,29530.0,KOSPI,전기전자,373969000000.0
466,신성이엔지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,11930.0,KOSPI,전기전자,428164000000.0
467,신성통상,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5390.0,KOSPI,유통업,255657000000.0
468,신세계,B이하,B+,A,B+,A,A+,A+,A+,4170.0,KOSPI,유통업,1618550000000.0
469,신세계I&C,B이하,B+,B+,B+,B이하,B+,A,A,35510.0,KOSPI,서비스업,193500000000.0
470,신세계건설,B이하,B이하,B+,A,B+,B+,B이하,B+,34300.0,KOSPI,건설업,80709761600.0
471,신영와코루,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,5800.0,KOSPI,섬유의복,82620000000.0
472,신영증권,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1720.0,KOSPI,증권,625509000000.0
473,신원,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,9270.0,KOSPI,섬유의복,131311000000.0
475,신일전자,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2700.0,KOSPI,유통업,132362000000.0
476,신풍제약,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,19170.0,KOSPI,의약품,722715000000.0
477,신풍,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2870.0,KOSPI,유통업,29470184100.0
479,신한지주,A,A,A+,A,A+,A+,A,A,55550.0,KOSPI,기타금융,22566100000000.0
481,신흥,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,4080.0,KOSPI,유통업,142120000000.0
482,쌍방울,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,102280.0,KOSPI,섬유의복,70637282701.0
483,쌍용C&E,B이하,B이하,B이하,B+,B이하,A,B이하,A,3410.0,KOSPI,비금속광물,3495870000000.0
484,써니전자,B이하,B이하,B이하,B이하,B이하,B이하,B+,B이하,4770.0,KOSPI,전기전자,72304681480.0
487,아모레퍼시픽,A,A+,A,A,A,A,A,A+,90430.0,KOSPI,화학,8288420000000.0
490,아세아,B이하,B+,B+,B+,B이하,B이하,B이하,B이하,2030.0,KOSPI,서비스업,490830000000.0
491,아세아제지,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,2310.0,KOSPI,종이목재,385577000000.0
493,아시아나항공,B+,B+,B+,A,B+,A+,A,B이하,20560.0,KOSPI,운수창고업,798438000000.0
494,아이에스동서,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,10780.0,KOSPI,비금속광물,781843000000.0
497,알루코,B이하,B이하,B이하,B이하,B이하,B이하,B이하,B이하,1780.0,KOSPI,철강금속,314699000000.0
500,에넥스,B이하,B이하,B이하,B이하,B이하,B이하,B+,B+,11090.0,KOSPI,기타제조업,28915970962.0
501,에스엘,B이하,B+,B이하,B이하,B+,B+,B+,B+,5850.0,KOSPI,운수장비,1439900000000.0
502,에스원,B+,B+,B+,B+,B이하,B+,B이하,B이하,12750.0,KOSPI,서비스업,2317950000000.0
